Problem:    11
Rows:       109
Columns:    108 (100 integer, 100 binary)
Non-zeros:  560
Status:     INTEGER OPTIMAL
Objective:  z = 5960 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
    30 x[O,2]       *              0             0             1 
    31 x[P,1]       *              0             0             1 
    32 x[P,2]       *              0             0             1 
    33 x[Q,1]       *              0             0             1 
    34 x[Q,2]       *              0             0             1 
    35 x[R,1]       *              0             0             1 
    36 x[R,2]       *              1             0             1 
    37 x[S,1]       *              0             0             1 
    38 x[S,2]       *              0             0             1 
    39 x[T,1]       *              0             0             1 
    40 x[T,2]       *              0             0             1 
    41 x[U,1]       *              0             0             1 
    42 x[U,2]       *              0             0             1 
    43 x[V,1]       *              0             0             1 
    44 x[V,2]       *              0             0             1 
    45 x[W,1]       *              0             0             1 
    46 x[W,2]       *              0             0             1 
    47 x[X,1]       *              0             0             1 
    48 x[X,2]       *              1             0             1 
    49 x[Y,1]       *              1             0             1 
    50 x[Y,2]       *              0             0             1 
    51 y[A,1]       *              0             0             1 
    52 y[A,2]       *              0             0             1 
    53 y[B,1]       *              0             0             1 
    54 y[B,2]       *              0             0             1 
    55 y[C,1]       *              0             0             1 
    56 y[C,2]       *              0             0             1 
    57 y[D,1]       *              1             0             1 
    58 y[D,2]       *              0             0             1 
    59 y[E,1]       *              1             0             1 
    60 y[E,2]       *              0             0             1 
    61 y[F,1]       *              0             0             1 
    62 y[F,2]       *              0             0             1 
    63 y[G,1]       *              1             0             1 
    64 y[G,2]       *              0             0             1 
    65 y[H,1]       *              0             0             1 
    66 y[H,2]       *              0             0             1 
    67 y[I,1]       *              0             0             1 
    68 y[I,2]       *              0             0             1 
    69 y[J,1]       *              1             0             1 
    70 y[J,2]       *              0             0             1 
    71 y[K,1]       *              0             0             1 
    72 y[K,2]       *              0             0             1 
    73 y[L,1]       *              0             0             1 
    74 y[L,2]       *              0             0             1 
    75 y[M,1]       *              1             0             1 
    76 y[M,2]       *              0             0             1 
    77 y[N,1]       *              0             0             1 
    78 y[N,2]       *              0             0             1 
    79 y[O,1]       *              0             0             1 
    80 y[O,2]       *              0             0             1 
    81 y[P,1]       *              0             0             1 
    82 y[P,2]       *              0             0             1 
    83 y[Q,1]       *              0             0             1 
    84 y[Q,2]       *              0             0             1 
    85 y[R,1]       *              0             0             1 
    86 y[R,2]       *              1             0             1 
    87 y[S,1]       *              0             0             1 
    88 y[S,2]       *              0             0             1 
    89 y[T,1]       *              0             0             1 
    90 y[T,2]       *              0             0             1 
    91 y[U,1]       *              0             0             1 
    92 y[U,2]       *              0             0             1 
    93 y[V,1]       *              0             0             1 
    94 y[V,2]       *              0             0             1 
    95 y[W,1]       *              0             0             1 
    96 y[W,2]       *              0             0             1 
    97 y[X,1]       *              0             0             1 
    98 y[X,2]       *              1             0             1 
    99 y[Y,1]       *              1             0             1 
   100 y[Y,2]       *              0             0             1 
   101 Tfx                       240                             
   102 Tfy                       240                             
   103 Tcx                       540                             
   104 Tcy                       540                             
   105 Tvx                     178.8                             
   106 Tvy                       180                             
   107 zX                       2980                             
   108 zY                       2980                             

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

KKT.PB: max.abs.err = 4.55e-13 on row 52
        max.rel.err = 4.55e-13 on row 52
        High quality

End of output
